,id,date,time,location,filtered_location,lat,long,magnitude
0,2022-09-03ID1,2022-09-03,07:13:02,North Pacific Ocean,North Pacific Ocean,8.9942,-83.8343,5.0
1,2022-09-03ID2,2022-09-03,04:34:01,"Notio Kritiko Pelagos, Greece",Greece,35.0695,26.3288,5.3
2,2022-09-03ID3,2022-09-03,04:05:02,Pacific Ocean,Pacific Ocean,44.2899,148.9271,5.1
3,2022-09-03ID4,2022-09-03,04:05:01,Pacific Ocean,Pacific Ocean,44.1821,149.0888,5.4
4,2022-09-02ID5,2022-09-02,23:15:02,"West New Britain Province, Papua New Guinea",Guinea,-5.6539,148.7029,6.1
5,2022-09-02ID6,2022-09-02,17:36:01,South Pacific Ocean,South Pacific Ocean,-19.7279,-176.0829,5.0
6,2022-09-02ID7,2022-09-02,04:51:01,South Pacific Ocean,South Pacific Ocean,-17.6743,-176.4447,5.0
7,2022-09-01ID8,2022-09-01,16:44:01,Banda Sea,Banda Sea,-7.2647,128.9384,5.2
8,2022-09-01ID9,2022-09-01,07:22:01,Arabian Sea,Arabian Sea,13.1626,57.6837,5.4
9,2022-08-31ID10,2022-08-31,22:05:01,South Pacific Ocean,South Pacific Ocean,-21.5595,175.5976,5.5
10,2022-08-31ID11,2022-08-31,03:33:01,East China Sea,East China Sea,26.9628,126.5841,5.0
11,2022-08-30ID12,2022-08-30,23:57:01,Indian Ocean,Indian Ocean,4.4945,62.5197,5.1
12,2022-08-30ID13,2022-08-30,14:19:01,Indian Ocean,Indian Ocean,4.4044,62.572,5.2
13,2022-08-30ID14,2022-08-30,13:10:01,South Pacific Ocean,South Pacific Ocean,-54.4841,-136.2046,5.5
14,2022-08-30ID15,2022-08-30,09:33:01,South Pacific Ocean,South Pacific Ocean,-54.6999,-136.1556,6.2
15,2022-08-29ID16,2022-08-29,18:34:01,South Pacific Ocean,South Pacific Ocean,-32.7298,-179.055,5.8
16,2022-08-29ID19,2022-08-29,13:07:01,North Pacific Ocean,North Pacific Ocean,13.854,145.21,5.8
17,2022-08-29ID20,2022-08-29,12:39:01,Philippine Sea,Philippine Sea,28.8728,130.6714,5.6
18,2022-08-29ID22,2022-08-29,05:12:01,"Madang Province, Papua New Guinea",Guinea,-5.7647,145.396,5.1
19,2022-08-29ID24,2022-08-29,03:47:01,Indian Ocean,Indian Ocean,-1.0077,98.6416,5.9
20,2022-08-28ID26,2022-08-28,22:47:02,Indian Ocean,Indian Ocean,-1.0284,98.6333,5.8
21,2022-08-28ID28,2022-08-28,19:06:02,South Pacific Ocean,South Pacific Ocean,-21.8231,-176.7876,5.6
22,2022-08-28ID30,2022-08-28,13:41:02,South Pacific Ocean,South Pacific Ocean,-21.358,-178.8538,5.1
23,2022-08-28ID36,2022-08-28,04:02:01,South Pacific Ocean,South Pacific Ocean,-22.5165,170.9031,5.1
24,2022-08-28ID40,2022-08-28,01:13:02,North Pacific Ocean,North Pacific Ocean,32.4558,142.4436,5.3
