,id,date,time,location,filtered_location,lat,long,magnitude
0,2022-08-21ID2,2022-08-21,15:48:01,North Atlantic Ocean,North Atlantic Ocean,60.6106,-28.6769,5.1
1,2022-08-19ID5,2022-08-19,18:17:02,South Atlantic Ocean,South Atlantic Ocean,-57.9983,-25.7068,5.2
2,2022-08-19ID8,2022-08-19,11:27:01,South Atlantic Ocean,South Atlantic Ocean,-20.5094,-11.7191,5.2
3,2022-08-19ID9,2022-08-19,05:25:01,South Atlantic Ocean,South Atlantic Ocean,-56.1713,-27.3639,5.3
4,2022-08-19ID11,2022-08-19,03:02:01,South Atlantic Ocean,South Atlantic Ocean,-20.4496,-11.7901,5.1
5,2022-08-18ID13,2022-08-18,21:54:01,South Atlantic Ocean,South Atlantic Ocean,-20.2238,-12.4116,5.1
6,2022-08-18ID15,2022-08-18,18:03:01,South Pacific Ocean,South Pacific Ocean,-22.2898,171.6659,5.0
7,2022-08-18ID18,2022-08-18,08:02:02,Molucca Sea,Molucca Sea,0.3403,124.3752,5.4
8,2022-08-18ID19,2022-08-18,06:09:01,North Pacific Ocean,North Pacific Ocean,37.6284,141.6741,5.1
9,2022-08-18ID21,2022-08-18,02:28:01,"Requinoa, O'Higgins, Chile",Chile,-34.3475,-70.5794,5.3
10,2022-08-17ID24,2022-08-17,13:14:01,Banda Sea,Banda Sea,-7.0096,125.4748,5.5
11,2022-08-17ID25,2022-08-17,04:44:01,North Pacific Ocean,North Pacific Ocean,33.1659,141.6785,5.4
12,2022-08-17ID27,2022-08-17,02:07:02,North Pacific Ocean,North Pacific Ocean,56.066,-155.957,5.2
13,2022-08-16ID29,2022-08-16,17:45:01,"Morobe Province, Papua New Guinea",Guinea,-5.9323,146.6275,5.0
14,2022-08-16ID34,2022-08-16,11:21:01,Pacific Ocean,Pacific Ocean,44.3002,149.5379,5.0
15,2022-08-16ID35,2022-08-16,11:01:01,Pacific Ocean,Pacific Ocean,44.3657,149.5,5.1
16,2022-08-16ID36,2022-08-16,08:55:01,South Pacific Ocean,South Pacific Ocean,-22.4001,170.3261,5.0
17,2022-08-16ID37,2022-08-16,07:31:02,Australia,Australia,-54.8013,158.5708,5.2
18,2022-08-15ID39,2022-08-15,17:08:01,South Atlantic Ocean,South Atlantic Ocean,-7.1058,-12.8951,5.0
19,2022-08-15ID42,2022-08-15,08:52:02,"Qilian County, Haibei, Qinghai, China",China,38.4817,99.1373,5.3
20,2022-08-15ID43,2022-08-15,08:45:02,"Poblacion, Columbio, Sultan Kudarat, Philippines",Philippines,6.6378,125.0013,5.2
21,2022-08-15ID45,2022-08-15,01:56:02,"Morobe Province, Papua New Guinea",Guinea,-5.9927,147.3494,5.1
