,id,date,time,location,filtered_location,lat,long,magnitude
0,2022-10-30ID1,2022-10-30,22:37:01,"Huta Baru, Aek Bilah, South Tapanuli Regency, North Sumatra, Indonesia",Indonesia,1.8867,99.5494,5.2
1,2022-10-30ID2,2022-10-30,18:45:01,South Pacific Ocean,South Pacific Ocean,-16.8886,-172.7911,5.3
2,2022-10-29ID4,2022-10-29,21:05:01,South Pacific Ocean,South Pacific Ocean,-14.4791,-76.203,5.1
3,2022-10-29ID5,2022-10-29,20:55:01,Coral Sea,Coral Sea,-16.2786,166.7589,5.5
4,2022-10-29ID6,2022-10-29,19:30:01,Solomon Sea,Solomon Sea,-7.0321,150.0059,5.2
5,2022-10-29ID7,2022-10-29,19:12:01,Coral Sea,Coral Sea,-10.9727,162.3479,5.0
6,2022-10-29ID10,2022-10-29,17:45:01,South Pacific Ocean,South Pacific Ocean,-15.2927,-172.8129,5.1
7,2022-10-29ID11,2022-10-29,12:00:01,"Poopó Lake, Bolivia",Bolivia,-19.1005,-66.9198,5.1
8,2022-10-29ID12,2022-10-29,00:28:01,South Pacific Ocean,South Pacific Ocean,-14.5344,-76.1944,5.8
9,2022-10-28ID13,2022-10-28,23:52:01,South Pacific Ocean,South Pacific Ocean,-14.5323,-76.2307,5.2
10,2022-10-28ID14,2022-10-28,23:11:01,South Pacific Ocean,South Pacific Ocean,-14.516,-76.14,5.3
11,2022-10-28ID16,2022-10-28,20:43:01,South Pacific Ocean,South Pacific Ocean,-14.537,-76.1571,5.9
12,2022-10-28ID17,2022-10-28,20:41:01,South Pacific Ocean,South Pacific Ocean,-20.3871,-177.739,5.0
13,2022-10-28ID18,2022-10-28,04:19:02,South Pacific Ocean,South Pacific Ocean,-35.8117,-179.1308,5.4
14,2022-10-27ID19,2022-10-27,16:13:01,Bismarck Sea,Bismarck Sea,-3.4056,145.4166,5.2
15,2022-10-27ID20,2022-10-27,13:40:01,North Pacific Ocean,North Pacific Ocean,41.9242,144.885,5.0
16,2022-10-27ID21,2022-10-27,10:29:01,Pacific Ocean,Pacific Ocean,46.628,152.6513,5.2
17,2022-10-27ID22,2022-10-27,09:07:02,"Marquelia, Guerrero, Mexico",Mexico,16.6537,-98.8189,5.0
18,2022-10-27ID23,2022-10-27,02:01:01,South Atlantic Ocean,South Atlantic Ocean,-59.8592,-25.435,5.4
19,2022-10-26ID24,2022-10-26,23:17:01,Arabian Sea,Arabian Sea,11.9281,57.8955,5.1
20,2022-10-26ID26,2022-10-26,09:37:01,North Pacific Ocean,North Pacific Ocean,54.818,-160.102,5.0
21,2022-10-26ID27,2022-10-26,08:07:02,South America,America,-24.0942,-66.9953,5.1
22,2022-10-26ID28,2022-10-26,07:23:01,North Pacific Ocean,North Pacific Ocean,41.9473,144.7483,5.2
23,2022-10-25ID29,2022-10-25,21:30:03,South Pacific Ocean,South Pacific Ocean,-16.8501,-173.386,5.1
24,2022-10-25ID32,2022-10-25,18:46:01,"Santa Clara County, CA",CA,37.3105011,-121.6774979,5.0
25,2022-10-25ID35,2022-10-25,15:08:02,"Garnaden, Nueva Era, Ilocos Norte, Philippines",Philippines,17.884,120.624,6.8
26,2022-10-25ID36,2022-10-25,13:41:01,Philippine Sea,Philippine Sea,8.1905,126.5533,5.1
27,2022-10-25ID38,2022-10-25,00:33:01,South Atlantic Ocean,South Atlantic Ocean,-58.7186,-26.1532,6.3
28,2022-10-24ID39,2022-10-24,17:16:01,North Pacific Ocean,North Pacific Ocean,18.7487,146.4138,5.3
29,2022-10-24ID40,2022-10-24,15:39:01,Solomon Sea,Solomon Sea,-10.4544,161.4022,5.1
30,2022-10-24ID41,2022-10-24,15:29:02,Philippine Sea,Philippine Sea,11.093,125.8693,5.4
31,2022-10-24ID42,2022-10-24,08:07:01,South Pacific Ocean,South Pacific Ocean,-15.478,-173.134,5.9
32,2022-10-24ID43,2022-10-24,05:26:01,"Alto Biavo, 22490, Peru",Peru,-7.4829,-76.2725,5.0
33,2022-10-24ID44,2022-10-24,02:31:02,"Kilate, Toril, Davao City, Davao del Sur, Philippines",Philippines,7.0465,125.4369,5.3
